Minutes,Seconds,Milliseconds,Message
17,35,75,0.007 0.035 0.385 0.000>
17,39,722,0.000 0.138 0.415 0.013>
17,44,654,0.000 0.047 0.447 0.000>
17,49,388,0.035 0.068 0.415 0.000>
17,50,128,0.000 0.035 0.385 0.000>
17,55,45,0.000 0.000 0.275 0.047>
17,59,950,0.000 0.032 0.377 0.010>
18,4,857,0.078 0.097 0.475 0.030>
18,9,529,0.000 0.085 0.468 0.000>
18,14,358,0.035 0.025 0.530 0.035>
18,15,189,0.000 0.090 0.425 0.000>
18,19,314,0.000 0.245 0.390 0.015>
18,20,136,0.015 0.072 0.533 0.000>
18,24,897,0.000 0.000 0.425 0.000>
18,29,817,0.000 0.000 0.425 0.027>
18,34,733,0.000 0.147 0.387 0.000>
18,39,695,0.000 0.138 0.355 0.000>
18,44,411,0.093 0.120 0.433 0.000>
18,45,144,0.000 0.032 0.390 0.000>
18,50,18,0.038 0.000 0.407 0.000>
18,54,926,0.070 0.125 0.520 0.000>
18,59,624,0.000 0.030 0.405 0.000>
19,4,475,0.032 0.000 0.433 0.000>
19,9,350,0.072 0.000 0.350 0.000>
19,10,76,0.000 0.093 0.425 0.000>
19,14,975,0.000 0.115 0.343 0.000>
19,19,877,0.002 0.002 0.417 0.000>
19,24,805,0.035 0.058 0.368 0.015>
19,29,641,0.000 0.130 0.433 0.000>
19,34,585,0.000 0.010 0.458 0.000>
19,39,454,0.013 0.050 0.425 0.000>
19,44,311,0.000 0.045 0.368 0.000>
19,45,143,0.050 0.050 0.410 0.030>
19,50,20,0.063 0.000 0.373 0.000>
19,54,934,0.000 0.032 0.345 0.000>
19,59,479,0.007 0.020 0.433 0.000>
20,4,465,0.038 0.035 0.275 0.000>
20,9,267,0.020 0.000 0.385 0.000>
20,10,12,0.070 0.018 0.345 0.000>
20,14,884,0.000 0.055 0.343 0.000>
20,19,795,0.000 0.045 0.382 0.000>
20,24,650,0.000 0.185 0.373 0.000>
20,29,450,0.000 0.108 0.278 0.000>
20,34,273,0.000 0.025 0.320 0.000>
20,35,116,0.013 0.052 0.385 0.000>
20,39,906,0.000 0.030 0.382 0.000>
20,44,831,0.007 0.097 0.317 0.000>
20,49,635,~
20,54,424,0.000 0.060 0.305 0.020>
20,55,162,0.087 0.162 0.420 0.000>
20,59,912,0.000 0.045 0.370 0.000>
21,4,734,0.020 0.112 0.317 0.000>
21,9,433,0.045 0.072 0.327 0.050>
21,14,226,0.132 0.032 0.463 0.000>
21,15,63,0.045 0.032 0.447 0.000>
21,19,864,0.000 0.065 0.477 0.000>
21,24,763,0.000 0.010 0.347 0.000>
21,29,668,0.032 0.002 0.398 0.010>
21,34,422,0.000 0.085 0.412 0.000>
21,35,161,0.000 0.052 0.407 0.005>
21,39,280,0.005 0.000 0.455 0.000>
21,40,122,0.018 0.025 0.390 0.000>
21,45,21,0.000 0.040 0.382 0.000>
21,49,796,0.043 0.080 0.393 0.000>
21,54,683,0.000 0.013 0.325 0.000>
21,59,336,0.000 0.013 0.433 0.000>
22,0,63,0.000 0.030 0.375 0.000>
22,4,424,0.060 0.000 0.280 0.063>
22,5,162,0.032 0.025 0.350 0.000>
22,9,521,0.000 0.020 0.440 0.000>
22,14,636,0.000 0.000 0.545 0.038>
22,19,776,0.047 0.000 0.395 0.000>
22,24,889,0.032 0.160 0.545 0.000>
22,29,305,0.005 0.025 0.370 0.000>
22,30,30,0.117 0.035 0.385 0.000>
22,34,377,0.000 0.038 0.393 0.000>
22,35,117,0.000 0.150 0.393 0.015>
22,39,501,0.032 0.013 0.350 0.000>
22,44,610,0.078 0.058 0.373 0.000>
22,49,751,0.093 0.000 0.447 0.000>
22,54,887,0.000 0.093 0.385 0.072>
22,59,248,0.040 0.015 0.465 0.000>
22,59,976,0.000 0.087 0.445 0.002>
23,4,405,0.000 0.032 0.373 0.000>
23,5,143,0.000 0.145 0.322 0.023>
23,9,482,0.000 0.050 0.393 0.000>
23,14,603,0.018 0.047 0.273 0.000>
23,19,597,0.000 0.000 0.452 0.010>
23,24,658,0.168 0.050 0.075 0.030>
23,29,776,0.000 0.047 0.385 0.000>
23,34,915,0.000 0.060 0.377 0.018>
23,39,285,0.015 0.000 0.450 0.000>
23,40,13,0.102 0.123 0.420 0.018>
23,44,444,0.000 0.018 0.400 0.000>
23,45,159,0.000 0.030 0.627 0.010>
23,49,572,0.000 0.000 0.387 0.000>
23,54,692,0.015 0.027 0.203 0.000>
23,59,781,0.000 0.045 0.368 0.000>
24,4,891,0.000 0.047 0.375 0.000>
24,9,235,0.018 0.080 0.425 0.000>
24,9,974,0.000 0.023 0.357 0.000>
24,14,377,0.020 0.043 0.343 0.000>
24,15,92,0.000 0.025 0.330 0.000>
24,19,444,0.000 0.025 0.360 0.000>
24,20,184,0.000 0.038 0.373 0.000>
24,24,511,0.007 0.068 0.313 0.043>
24,29,619,0.020 0.010 0.370 0.000>
24,34,745,0.000 0.007 0.365 0.010>
24,39,839,0.000 0.052 0.382 0.000>
24,44,217,0.023 0.000 0.468 0.000>
24,44,945,0.055 0.070 0.425 0.010>
24,49,332,0.000 0.097 0.472 0.000>
24,50,58,0.000 0.005 0.390 0.000>
24,54,422,0.002 0.198 0.423 0.000>
24,55,161,0.018 0.150 0.440 0.000>
24,59,518,0.052 0.000 0.260 0.000>
25,4,575,~
25,9,658,0.025 0.002 0.363 0.000>
25,14,752,0.040 0.070 0.465 0.000>
25,19,823,0.000 0.030 0.373 0.000>
25,24,925,0.000 0.085 0.335 0.007>
25,29,340,0.000 0.000 0.340 0.000>
25,30,54,0.000 0.043 0.368 0.000>
25,34,388,0.000 0.000 0.482 0.000>
25,35,113,0.000 0.038 0.365 0.000>
25,39,473,0.083 0.078 0.300 0.000>
25,40,198,0.000 0.072 0.308 0.000>
25,44,542,0.000 0.108 0.390 0.000>
25,49,496,~
25,54,592,0.087 0.065 0.325 0.000>
25,59,669,0.007 0.063 0.300 0.043>
26,4,760,0.170 0.000 0.417 0.030>
26,9,854,0.000 0.038 0.493 0.000>
26,14,911,0.000 0.035 0.553 0.000>
26,19,229,0.000 0.018 0.370 0.000>
26,19,959,0.110 0.000 0.538 0.000>
26,24,360,0.000 0.078 0.355 0.000>
26,25,99,0.005 0.153 0.527 0.000>
26,29,464,~
26,30,178,0.070 0.010 0.340 0.000>
26,34,561,0.000 0.043 0.385 0.000>
26,39,636,~
26,44,714,0.000 0.038 0.370 0.000>
26,49,821,0.000 0.000 0.330 0.000>
26,54,939,0.020 0.060 0.330 0.040>
26,59,295,0.000 0.025 0.373 0.000>
27,0,10,0.000 0.030 0.355 0.000>
27,4,382,0.000 0.030 0.363 0.000>
27,5,110,0.000 0.083 0.527 0.000>
27,9,535,0.000 0.025 0.292 0.013>
27,14,650,0.000 0.002 0.298 0.000>
27,19,745,0.000 0.035 0.357 0.000>
27,24,854,0.000 0.023 0.410 0.000>
27,29,230,0.027 0.078 0.345 0.000>
