P1,P2,OBC,Comms
0.0,0.015,0.375,0.0
0.032,0.025,0.333,0.0
0.0,0.043,0.36,0.0
0.01,0.0,0.298,0.0
0.0,0.025,0.34,0.0
0.0,0.102,0.428,0.0
0.0,0.007,0.338,0.0
0.002,0.075,0.36,0.0
0.027,0.005,0.415,0.0
0.013,0.065,0.377,0.0
0.0,0.072,0.262,0.0
0.0,0.055,0.375,0.0
0.07,0.032,0.305,0.0
0.157,0.043,0.445,0.06
0.0,0.172,0.275,0.075
0.03,0.043,0.335,0.0
0.01,0.125,0.38,0.04
0.087,0.0,0.44,0.123
0.0,0.108,0.515,0.0
0.13,0.0,0.405,0.0
0.018,0.135,0.447,0.0
0.015,0.023,0.357,0.0
0.093,0.108,0.417,0.007
0.02,0.072,0.407,0.002
0.085,0.002,0.522,0.0
0.0,0.035,0.36,0.0
0.0,0.11,0.472,0.0
0.025,0.07,0.475,0.0
0.0,0.005,0.292,0.0
0.0,0.0,0.455,0.0
0.04,0.0,0.5,0.0
0.123,0.063,0.37,0.038
0.0,0.038,0.345,0.0
0.0,0.0,0.468,0.025
0.2,0.105,0.322,0.0
0.023,0.043,0.257,0.0
0.01,0.02,0.642,0.072
0.0,0.02,0.412,0.06
0.038,0.105,0.382,0.068
0.0,0.025,0.377,0.0
0.0,0.025,0.375,0.0
0.0,0.083,0.543,0.097
0.0,0.0,0.365,0.0
0.0,0.013,0.4,0.0
0.0,0.045,0.377,0.0
0.0,0.047,0.357,0.0
0.0,0.068,0.373,0.01
0.0,0.038,0.433,0.0
0.0,0.0,0.347,0.0
0.0,0.085,0.382,0.0
0.0,0.005,0.477,0.0
0.013,0.065,0.34,0.0
0.0,0.138,0.252,0.0
0.002,0.043,0.375,0.0
0.027,0.06,0.313,0.0
0.025,0.058,0.38,0.0
0.0,0.06,0.33,0.0
0.002,0.0,0.315,0.0
0.132,0.083,0.322,0.07
0.0,0.023,0.365,0.0
0.157,0.005,0.243,0.0
0.02,0.05,0.35,0.0
0.013,0.0,0.13,0.0
0.043,0.015,0.313,0.0
0.002,0.135,0.477,0.0
0.0,0.078,0.52,0.0
0.11,0.105,0.423,0.0
0.198,0.023,0.233,0.0
0.0,0.127,0.44,0.0
0.0,0.095,0.35,0.0
0.023,0.072,0.42,0.03
0.0,0.068,0.368,0.0
0.0,0.032,0.36,0.0
0.0,0.078,0.338,0.0
0.213,0.132,0.222,0.0
0.06,0.162,0.425,0.0
